#,"What country do you currently call home?","Not including where you currently live, what country would you like to call home?","Including where you currently live, what country would you like to call home?","Start Date (UTC)","Submit Date (UTC)","Network ID"
d3cb18f6ce19bdc86cdf1660da776878,Canada,Norway,Norway,"2016-06-06 06:22:00","2016-06-06 06:23:28",df87137d51
87306c808e99d2b18c0b256e7db6a09e,"United States",Canada,"United States","2016-06-06 06:25:29","2016-06-06 06:26:30",04b537e1b0
f11acbc7cb22266c9779d03cfdbb2619,"United States",Canada,Canada,"2016-06-06 06:41:14","2016-06-06 06:41:54",8a5734b98a
3f6d38d18d6977be79969f8b8b2b9a9a,Canada,"United Kingdom",Canada,"2016-06-06 06:42:53","2016-06-06 06:44:01",81c9994a19
053ac465cfbcda13d492d97e5f8be9e6,Bulgaria,Canada,Canada,"2016-06-06 06:58:31","2016-06-06 07:00:15",fca7f8d856
3b2956a832216702947cbaf782965bc6,"United Kingdom",Ireland,"United Kingdom","2016-06-06 06:59:03","2016-06-06 07:00:37",b5bed14321
69c42bf9972bbc995a2181c0117ad34b,Germany,"New Zealand",Netherlands,"2016-06-06 06:58:56","2016-06-06 07:01:03",5df065d8f1
ed60ddb85895968ba2abffe5cd0e0607,Canada,Bermuda,Canada,"2016-06-06 07:05:03","2016-06-06 07:05:48",27f5d54bb7
ad913687d18438d1377474bb56e68ae7,"New Zealand",Canada,"New Zealand","2016-06-06 07:06:14","2016-06-06 07:07:48",724315364f
3f72cc687f66362409769a34ad02603e,Netherlands,Greece,Netherlands,"2016-06-06 07:10:41","2016-06-06 07:11:43",c435fda67b
555d533ffe18d48dc4bdfb98949b6e50,"United States",Canada,Canada,"2016-06-06 07:12:31","2016-06-06 07:14:02",0592e29ad7
6f78dc35b346faad33face298997df71,"United Kingdom",Switzerland,"United Kingdom","2016-06-06 07:17:51","2016-06-06 07:18:48",5556d8c9c7
ff9bfb65de0311816df9351fe84f260c,Australia,"United Kingdom",Norway,"2016-06-06 07:29:45","2016-06-06 07:31:19",177d616b70
c757b444cd4fb8301ede3fcfc5d95143,"United States","United Kingdom","United States","2016-06-06 07:31:21","2016-06-06 07:32:09",191e043499
b6d8e602ffecb8d2dbd5caf44a5bc3c4,"United States",Canada,Canada,"2016-06-06 07:32:13","2016-06-06 07:33:03",5ae5093a29
e09418e9824b732db0a6b36ba6301d25,Australia,"United Kingdom",Australia,"2016-06-06 07:41:03","2016-06-06 07:41:37",f764c56ee0
adb4986197aa3f9d1f4954a7a580e57c,"United Kingdom",Russia,Russia,"2016-06-06 07:43:10","2016-06-06 07:44:24",1cde4e0533
081c47466f7a6ca5c79d016c4da5c790,"United States","United Kingdom","United Kingdom","2016-06-06 07:49:08","2016-06-06 07:50:27",4a62b55878
4fed5533097a7dfb3b86a66e08eeb808,"United States",Sweden,"United States","2016-06-06 07:51:11","2016-06-06 07:51:57",59e5073f10
6a6abf79fc42bf24935660d1a5937aff,"United States",Italy,"United States","2016-06-06 08:09:48","2016-06-06 08:11:18",bfbcdd4d16
2976982ccf4853b6e6f524c7e9bd75bd,Canada,"United States",Canada,"2016-06-06 08:32:31","2016-06-06 08:32:59",c1c79e3736
4a36bf503f09da98f75b020d4cfdc6d9,Australia,Portugal,Australia,"2016-06-06 08:38:26","2016-06-06 08:38:57",d760dcca97
c1e2d25a65bd08e8ade28f9abf13a365,Australia,Germany,Australia,"2016-06-06 08:47:46","2016-06-06 08:49:13",4225cd6927
ddd192807e761163a64ca5632717307b,Australia,Canada,Australia,"2016-06-06 08:49:20","2016-06-06 08:50:40",6858084329
bba53c699f6359dabfff63245c65da91,Germany,"United Kingdom",Germany,"2016-06-06 08:49:54","2016-06-06 08:51:33",6243c3d84d
2a422a765d24768747e39f79e0bd8a77,"United States",Canada,Canada,"2016-06-06 08:56:58","2016-06-06 08:57:59",9c547a60d0
a3b431155f329ab7cdb95d4eddec4221,"United States",Netherlands,Netherlands,"2016-06-06 09:00:58","2016-06-06 09:02:01",b0b79fc972
2456b49426d721be1cf84e9f20917d90,"United Kingdom",Canada,"New Zealand","2016-06-06 09:01:39","2016-06-06 09:02:45",06220aba0a
6c8db5b6bca416fd4925c26d3b55c424,"United States",Uruguay,"United States","2016-06-06 09:14:46","2016-06-06 09:15:19",fc33b2a14e
fac9923f44094fd27116ea22b23e5b66,"New Zealand",Malawi,"New Zealand","2016-06-06 09:26:38","2016-06-06 09:27:51",391499f155
456499762576ea072e74793093fceff5,Bulgaria,Switzerland,Denmark,"2016-06-06 09:31:09","2016-06-06 09:32:01",d719f9446a
0effd92430f76612875242d0e248cb5c,Canada,Japan,Canada,"2016-06-06 09:34:14","2016-06-06 09:35:05",a2e44ccc16
708a174cd9b9887f1b0a9869cb0e7df5,Australia,Greenland,Greenland,"2016-06-06 09:35:19","2016-06-06 09:36:02",8c97448e39
882b8b25854ed10bef5b372cd396a594,Germany,Sweden,Germany,"2016-06-06 10:02:54","2016-06-06 10:03:52",7df29eb066
1d7bf3c73893d500cfbe23578749b8d8,Sweden,Australia,Australia,"2016-06-06 10:04:11","2016-06-06 10:05:29",42857efb2f
ec681626c554c548cc8ffef6474544e2,"United Kingdom",Canada,Canada,"2016-06-06 10:09:15","2016-06-06 10:10:02",4c29619313
a9de119e9b140cdad152c8800f2d1681,"United States","United Kingdom","United States","2016-06-06 10:10:01","2016-06-06 10:11:16",9f1ac54562
020cf4492ca0c816d278aa73efc39ca6,Australia,Antarctica,Australia,"2016-06-06 10:12:04","2016-06-06 10:12:38",1e9ec4d7e7
48c3e88a26efa69567300d7c80505ad4,Australia,Slovenia,Slovenia,"2016-06-06 10:19:35","2016-06-06 10:20:03",de3b445b66
97142cc24b586b693ea2d01a6ab6eafc,"United States",Norway,Norway,"2016-06-06 10:25:36","2016-06-06 10:26:27",19bd6b83f3
572ffb474da2715c56e843da82b3ca62,"United States","South Korea","South Korea","2016-06-06 10:26:34","2016-06-06 10:27:47",1a0e3f9d96
f80ba12d41b283d8edd6f6beb804a4e6,Australia,France,France,"2016-06-06 10:27:59","2016-06-06 10:28:33",d9533b140e
e9315b4aa6fff0a4f446dd9aa018c763,Netherlands,Sweden,Netherlands,"2016-06-06 10:28:32","2016-06-06 10:30:22",bdb3aeaa23
151c48d6da564fcb4001d010db97434d,Netherlands,Canada,Netherlands,"2016-06-06 10:29:53","2016-06-06 10:31:10",3e56c9d02a
2a5d92572f5522a7cacc214c64a8478e,"United States","United Kingdom","United States","2016-06-06 10:35:11","2016-06-06 10:35:45",41e165f231
82accc9c656b8efd41a363c1c19cb465,Sweden,Norway,"United States","2016-06-06 10:50:44","2016-06-06 10:51:40",d0ff65b5be
207863ab278b166801f8616b66717c2f,"United States",Ireland,"United States","2016-06-06 10:53:54","2016-06-06 10:55:12",6123d28ae4
43fdbbd50d7642f38df6d5550194d520,"United States","United Kingdom","United States","2016-06-06 10:58:33","2016-06-06 10:59:28",e77c0a1b78
cc0690f506f76c67681e52f09b5b2b54,"United States",Canada,"United States","2016-06-06 11:01:43","2016-06-06 11:02:20",c0ad225b83
23ed85a442430159fe47e6c305b0f9b7,Estonia,"United States",Estonia,"2016-06-06 11:03:14","2016-06-06 11:06:22",ec35a75ddb
314115bf095c9724d8107235109973fe,"United Kingdom","United States","United Kingdom","2016-06-06 11:06:16","2016-06-06 11:06:59",1c41da4ddb
282659400e79e5f687b4c6c777178e87,"United States",Norway,Norway,"2016-06-06 11:17:09","2016-06-06 11:17:59",2ceba253ba
7af00857742094bd7f4f85c4b1f9bfad,Canada,Netherlands,Canada,"2016-06-06 11:23:57","2016-06-06 11:25:10",d6c68cb23f
81e0aceddce52eb298ef3491594d26b2,Israel,"United States","United States","2016-06-06 11:26:19","2016-06-06 11:27:08",3c882a0c2a
6b97357bcc58758f75211d45a784151c,Australia,France,Australia,"2016-06-06 11:27:24","2016-06-06 11:29:41",82e5529a94
e8de16ae461800385c6d751d22608a48,Netherlands,Denmark,Netherlands,"2016-06-06 11:34:38","2016-06-06 11:35:20",d19ac5ef37
01fff25eccc4cd52fa645f16e63a90e9,Norway,Tanzania,Norway,"2016-06-06 11:35:55","2016-06-06 11:36:29",7c67e9d8a2
caf42ceed3949aead351dd19eeb217eb,"United Kingdom",Japan,"United Kingdom","2016-06-06 11:38:22","2016-06-06 11:39:22",680773f938
0eaff1be7ee5b62b762874bf1db2b7b0,Australia,"United Kingdom","United Kingdom","2016-06-06 11:43:31","2016-06-06 11:43:56",09a8b1bbef
87044bb70646ea0c666a9cc1aaa4883b,Australia,Japan,Australia,"2016-06-06 11:42:57","2016-06-06 11:44:07",03e26e07d0
f3474255dcb0d037eff6512b7e4443db,"United States",Australia,"United States","2016-06-06 11:43:22","2016-06-06 11:44:07",7ebaed08a3
852b493404eda9720844b46daebc38ac,"South Africa","New Zealand","New Zealand","2016-06-06 11:52:32","2016-06-06 11:53:04",2a640f351e
941e032f244b62f66f540d62c2594465,"United Kingdom",Japan,Japan,"2016-06-06 11:52:46","2016-06-06 11:53:16",c79a872498
38429de40a7b1de76b02e9fd8666181e,"United States","United Kingdom","United States","2016-06-06 11:59:01","2016-06-06 11:59:51",61db98b52b
ae5b58d112c5d71fa769048a0f951e18,Australia,Canada,Australia,"2016-06-06 12:12:45","2016-06-06 12:13:42",1223b8bb98
c6ae37307b1e9536fc26b0cfba9481d9,Canada,"United Kingdom",Ireland,"2016-06-06 12:22:59","2016-06-06 12:23:56",81e7cde964
4e9fe8be0f1c049d8d3f03cee49958a0,Denmark,"United Kingdom",Denmark,"2016-06-06 12:32:30","2016-06-06 12:33:32",2a1a131703
0a8b7bf9d061dc8434d8ac49a0fc7b63,"United States","South Korea","United States","2016-06-06 12:32:49","2016-06-06 12:33:59",cf9fce2f88
c1cbac6e402566511f91955c37ea54f6,"United Kingdom",Switzerland,Switzerland,"2016-06-06 12:33:42","2016-06-06 12:34:52",3fdd4d9178
bbdab77708f5dd45785e9de622ab1a26,"United Kingdom","United States","United States","2016-06-06 12:31:03","2016-06-06 12:35:23",6c8c93db8a
71dcdb2841e4794b1fb69ca522171eb8,Italy,Germany,Italy,"2016-06-06 12:41:39","2016-06-06 12:42:17",8d2cefb2bc
bedc8905312d9fb23712ab3cd219574e,Australia,"New Zealand",Australia,"2016-06-06 12:45:34","2016-06-06 12:46:19",d7225abd71
0aba2b74fb6176f79d7b1f457a533fea,"South Africa",France,Italy,"2016-06-06 12:48:59","2016-06-06 12:49:42",327ac630ff
874c3f77b23765e687a5c48c777c1f59,"United States","United Kingdom","United States","2016-06-06 12:49:39","2016-06-06 12:50:37",a455afe539
984222e440b2b040bfbe2b3333508a33,"Bosnia and Herzegovina",Ireland,Ireland,"2016-06-06 12:46:08","2016-06-06 12:50:57",4cf52a25d6
7cb16b1a7999bf00c11cd90712f67cd4,Australia,Spain,Australia,"2016-06-06 12:53:32","2016-06-06 12:55:15",7059f743d9
10db279f6af3bb83b5f0f716dacbf4ad,"United States",Germany,"United States","2016-06-06 12:54:48","2016-06-06 12:57:55",da78ff9924
6db0439ca1096fede98d49fa5245e03f,Singapore,Canada,Singapore,"2016-06-06 12:57:33","2016-06-06 12:58:09",d761b8e784
4498c91ff2c9945ab2fb69bd1fd14421,Australia,Canada,Australia,"2016-06-06 13:03:37","2016-06-06 13:04:27",8112596386
949633370ebc4aa7c0baa9281d743a29,"United States",Canada,Canada,"2016-06-06 13:11:23","2016-06-06 13:12:20",579a4bc404
c67802297c07fa5b5aeb6b1bea7da2e6,Netherlands,"United Kingdom",Netherlands,"2016-06-06 13:12:15","2016-06-06 13:13:10",5b180af243
134a93a46928f5963a0d78fecbf69b34,"United States","United Kingdom","United Kingdom","2016-06-06 13:17:55","2016-06-06 13:18:39",6637626624
1365d690cf15c9cabbb3b6702b98d976,"United States",China,"United States","2016-06-06 13:20:50","2016-06-06 13:21:37",bd07325c72
c49e6b5573e6e66c170101588e2802a2,"United States",Sweden,Sweden,"2016-06-06 13:17:12","2016-06-06 13:23:40",2e04cf03bd
05d4f0fee49f3953cf5b4e371bc92dbf,"Hong Kong","United Kingdom","Hong Kong","2016-06-06 13:25:41","2016-06-06 13:26:45",f7965de86c
348462092ce28ac74851db22e5ba9aba,"United States",Switzerland,"United States","2016-06-06 13:30:55","2016-06-06 13:31:49",663733cd12
f63fb3d48e545dac61d98fa8c2a52e06,"Czech Republic","United States","United States","2016-06-06 13:32:21","2016-06-06 13:33:30",9ec69adf58
9afaae575ba2deb7894e99be70c91a35,"United States",Sweden,"United States","2016-06-06 13:37:32","2016-06-06 13:38:16",b9b4982266
500b7992f781f921f2ad2865c9d115e8,Canada,Ireland,Canada,"2016-06-06 13:37:53","2016-06-06 13:38:43",fdec7b89a6
302b57d3be4792507bbbfe38e6321255,"United Kingdom",Canada,"United Kingdom","2016-06-06 13:39:23","2016-06-06 13:40:16",b0e4523696
33d88bb53dc26aacfa5466be2d71330d,Germany,"New Zealand","New Zealand","2016-06-06 13:39:55","2016-06-06 13:40:46",7911b15383
99de39255308af9b2b7ba41a5fe95a5e,"United States",Russia,"United States","2016-06-06 13:39:54","2016-06-06 13:40:52",208ccce58f
44306b9ddb84c442f581baf070dda20f,"United States",Canada,"United States","2016-06-06 13:51:56","2016-06-06 13:52:30",ca2736904b
d538d54a782bfb2ecaf2f5e4593f9f27,Argentina,Spain,Argentina,"2016-06-06 13:53:27","2016-06-06 13:54:12",b2b97b8f54
7fdac247268f5484a48ef6604bd60c41,Chile,Germany,Germany,"2016-06-06 13:53:08","2016-06-06 13:54:36",732ed81959
26db8eaa704ed5dedc759177fec638e1,Canada,"South Korea",Canada,"2016-06-06 14:01:41","2016-06-06 14:02:37",5a19759287
6a013786b041c998ea31fe943805a414,Netherlands,Germany,Netherlands,"2016-06-06 14:19:29","2016-06-06 14:20:19",5f0ff467d5
7684ed4167fcfade0e1ab1a18af31ed9,Germany,"Czech Republic","Czech Republic","2016-06-06 14:20:24","2016-06-06 14:21:00",88d24ccbae
c9f334139ce8e340cfbaa6c3a0a98a32,"United States",Canada,"United States","2016-06-06 14:22:07","2016-06-06 14:22:55",7c399b1ed8
cf2a1f8c916e29b92b7ec4fc74b270d8,Denmark,Norway,Denmark,"2016-06-06 14:29:11","2016-06-06 14:29:56",c2c1a4e86a
4863ebc1d1d48f174b9fe9ab2c42e9a0,"United States",Canada,Canada,"2016-06-06 14:30:05","2016-06-06 14:30:57",8175ee4995
980fc80d97b0a0ee05cc3c652d58cfa5,"United Kingdom",Netherlands,Netherlands,"2016-06-06 14:31:20","2016-06-06 14:31:51",6d23bc5812
88b05573467c3531743612918a509c78,"United States",Canada,"United States","2016-06-06 14:38:39","2016-06-06 14:39:12",f50c84b89a
a4555649049feb5d199fc8e7db4e7a50,Singapore,Finland,Finland,"2016-06-06 14:39:13","2016-06-06 14:39:34",a8080cdcee
4376fd64b1821b1cf0467d5686086d33,Canada,"United Kingdom","United Kingdom","2016-06-06 14:38:44","2016-06-06 14:39:41",e7f24f8aa4
22ec98148450ba107ee4260b87fedb1b,"United States",Canada,Canada,"2016-06-06 14:46:03","2016-06-06 14:46:56",c68b516ca3
9c2b3cb7847669cd8e681492b6c5053e,"United States",Canada,"United States","2016-06-06 14:51:17","2016-06-06 14:51:49",020099b6a9
06043a1411938d07da26207cb495477c,Canada,Poland,Canada,"2016-06-06 14:51:43","2016-06-06 14:52:21",14ed3d406a
218243ea3bf961a880872cc010e8af90,"United States",Canada,Canada,"2016-06-06 14:52:34","2016-06-06 14:53:19",29011ce607
f853fa40a9279b73ead4413eff713c16,Canada,Netherlands,Canada,"2016-06-06 14:52:48","2016-06-06 14:53:53",465e3871db
da6639c01e6d3e8696561af785a380b1,France,"United Kingdom",France,"2016-06-06 14:58:23","2016-06-06 14:59:16",34ea9b2819
cd5363eabb382ac91f15a7827bcb38a6,Denmark,Jamaica,Denmark,"2016-06-06 14:40:55","2016-06-06 15:02:48",f238d562c5
921ce94a35c19ac504602ec479ea9463,"United States",Norway,Norway,"2016-06-06 15:05:49","2016-06-06 15:06:14",a2d6213bbf
0a935d1b06474efffc8ef15ded1ef1d9,"United States",Canada,"United States","2016-06-06 15:05:55","2016-06-06 15:06:45",01591271dc
69cdaa9fc8ee81f74e95fc506675de2d,"United States","United Kingdom","United Kingdom","2016-06-06 15:08:43","2016-06-06 15:10:12",57b073d227
2b28cbd1256514649dbbb52360082626,"United States",Iceland,"United States","2016-06-06 15:11:20","2016-06-06 15:12:06",06c6dfb47b
2b18fe1de66d7d86be1aa01e9cb4a25f,"United States",Italy,Italy,"2016-06-06 15:13:52","2016-06-06 15:14:49",b676e8fde3
81933a5940aecc1a3c9175994f620055,Israel,Canada,Canada,"2016-06-06 15:26:57","2016-06-06 15:27:13",3c1aa293f9
74e05561388b7183a4765e2ff6cf6889,"United States",Germany,France,"2016-06-06 15:27:58","2016-06-06 15:29:12",548c1171ec
dbba8ff06c66d5a2308d4a25f3d5bfea,"United Kingdom","United States","United Kingdom","2016-06-06 15:33:01","2016-06-06 15:33:58",18a65f8868
c9bda43bb815ecc31d75185c0f571ce3,Greece,Sweden,Greece,"2016-06-06 15:35:23","2016-06-06 15:35:52",36ec91617b
86e501679baa5baac0ced2102468a9d9,"United Kingdom",Germany,Germany,"2016-06-06 15:35:05","2016-06-06 15:35:55",11edae98e4
652c3a6b3c719cadf4f76a7e8de92662,Canada,Belgium,Belgium,"2016-06-06 15:36:53","2016-06-06 15:37:35",c08d45b412
d84da07329b100032ab2729c5f33aed9,"United Kingdom",France,"United Kingdom","2016-06-06 15:36:44","2016-06-06 15:37:51",b6063524e9
ca1dfb9b3708c7553d9db6e7b2574dfc,"United States",Italy,Italy,"2016-06-06 15:39:33","2016-06-06 15:40:22",f0b8a48d35
92eef351b447672f38d9317fee5efa68,Austria,Sweden,Austria,"2016-06-06 15:43:09","2016-06-06 15:44:16",60cd2a626d
93572b302e3adfef30e3f01599c9afbe,"United Kingdom","New Zealand","United Kingdom","2016-06-06 15:43:50","2016-06-06 15:45:15",c6206d33cf
fed75456aa9fd52237b3b3140f19d837,"United States","Costa Rica","Costa Rica","2016-06-06 15:45:02","2016-06-06 15:45:39",2197fe5add
96c743bc988c1b0450e3d8d1bcebebde,"United States",Denmark,Denmark,"2016-06-06 15:49:10","2016-06-06 15:49:40",528d751301
9760be3ed2584df59d2e1327dd1f2f34,Canada,"New Zealand","New Zealand","2016-06-06 15:49:53","2016-06-06 15:50:33",4ca0409cfb
24a6a067889f2b2daec3436ca2bdd0d5,Russia,Australia,Australia,"2016-06-06 15:50:42","2016-06-06 15:51:15",45966ab1a7
c9d7c0c4d2bf72efc5a5b164de11bbde,"United States",Australia,"United States","2016-06-06 15:54:35","2016-06-06 15:55:29",3f31b72acb
da2f2305e95f7ea68c51e17e5790a86b,"United States",Canada,"United States","2016-06-06 15:56:22","2016-06-06 15:56:49",f9ea343c1a
969a2ac8fd7fc313c7d3963de6d2e7ff,Germany,"United Kingdom",Germany,"2016-06-06 16:00:28","2016-06-06 16:01:22",029f298c34
3f9ecf88d24c8d4dbc99330ec88d366d,Canada,"United Kingdom",Canada,"2016-06-06 16:05:38","2016-06-06 16:06:45",aaada27cd1
59b8d3b53a5da39b6c23fa24b78bdd74,Germany,Austria,Germany,"2016-06-06 16:13:14","2016-06-06 16:14:09",e1994e2e38
0eb74e9b672d6e72a245faa9c3f5eb6f,"United States",Canada,Canada,"2016-06-06 16:29:25","2016-06-06 16:30:10",9800c76427
98903986a46be7ef2d5e11ec3c86b0a1,Canada,Sweden,Canada,"2016-06-06 16:32:32","2016-06-06 16:32:55",f654591e31
fbf5b3bcca5cb598f4b9b0d15d6e7b91,"United States",Romania,Romania,"2016-06-06 16:37:42","2016-06-06 16:38:34",8f147221b4
c5a3000cf83c22ae8bd1eaaa51b631c5,Greece,Switzerland,Switzerland,"2016-06-06 16:38:26","2016-06-06 16:40:24",451d82c320
47da66e28dd93f92dcce7aff37286d5d,Pakistan,Antarctica,Antarctica,"2016-06-06 16:40:28","2016-06-06 16:41:19",d4a7636e39
4e012ce9b43764df27b2b0c7e0b0d21f,"United States","United Kingdom","United Kingdom","2016-06-06 16:42:37","2016-06-06 16:43:11",bfa8e86ccb
c51af0f0aa01d42d7e3e9d5086c86152,India,Australia,India,"2016-06-06 16:46:32","2016-06-06 16:47:19",e63579bd29
63bf56109ac9044a241aa02ca7ba616c,"United States","United Kingdom","United States","2016-06-06 16:47:00","2016-06-06 16:48:12",13d8f47bbf
9ac39aedaedd021e9af74ef790948d10,"United States","United States","United Kingdom","2016-06-06 16:47:37","2016-06-06 16:48:29",a5869006dd
7e8b9ed86a41564d4fff634dbf764d3e,"United States",Canada,Canada,"2016-06-06 16:48:27","2016-06-06 16:49:04",6e5d73c916
07b5b5e71684d7057a64b34b0fd99ced,"United States",Canada,"United States","2016-06-06 16:51:16","2016-06-06 16:51:52",843f213e9b
cf393889b3a1d1062ee45c242448a654,"United States","United Kingdom","United Kingdom","2016-06-06 16:54:24","2016-06-06 16:55:06",8729eb3435
e7d74266756fa80d53d6c8eff07c38e0,,Australia,"United States","2016-06-06 17:01:07","2016-06-06 17:01:42",75939ea632
573d9fe23e7d333f104403b28b03ed02,Netherlands,"United Kingdom","United Kingdom","2016-06-06 17:02:24","2016-06-06 17:03:06",af99872e56
1c0946cf3552a39e05d58116ab86c476,"United States",Denmark,Denmark,"2016-06-06 17:02:53","2016-06-06 17:03:50",9ca9cbd23f
df6ed61f2bf3c4e6342eb03234b1079d,"United States","United Kingdom","United States","2016-06-06 17:11:02","2016-06-06 17:12:18",bb64f89dc5
80510f883b0398eb2b92c7a50b0e8ad6,China,"United Kingdom","United Kingdom","2016-06-06 17:18:24","2016-06-06 17:18:51",f19e1d040f
a7e412104d56b08bbed35d22fc5c19c1,"United Kingdom",Sweden,"United Kingdom","2016-06-06 17:17:36","2016-06-06 17:19:01",98f091526a
ef9d23419a765a056181b7fa18d4cde2,"United States",France,"United States","2016-06-06 17:15:39","2016-06-06 17:20:03",dc26d61bb9
628d4de605d66c78df54f6aa8b7f1d26,"New Zealand","United States","New Zealand","2016-06-06 17:19:00","2016-06-06 17:20:41",96fecd9f7d
80b30f71501b2fa115ac2b4a785c1ea9,"United States",Ireland,"United States","2016-06-06 17:23:17","2016-06-06 17:24:06",d88eb3f928
80c8bb22989a2def38bc778a42e6e4e1,"United States",Canada,Australia,"2016-06-06 17:25:15","2016-06-06 17:25:46",53568ec7b1
3d004a7799e21e3c13ef19b4c7423ad7,Canada,"United Kingdom",Canada,"2016-06-06 17:35:47","2016-06-06 17:36:38",05e3dc8046
774a0e2f6e2b77c8cd3b3cbf065dddb2,Romania,Germany,Romania,"2016-06-06 17:40:17","2016-06-06 17:42:30",c9db5221c3
80fd2082967802ab2a89baf117d8ad5e,"United States",Sweden,Sweden,"2016-06-06 17:41:10","2016-06-06 17:42:53",1f6bc90a22
c5eb3688b39d3761259fca93f3031687,"United States","United Kingdom","United Kingdom","2016-06-06 17:44:57","2016-06-06 17:46:32",59b69e1406
60b81eabd10a90e15db0f2386b885baa,"United Kingdom",Netherlands,"United Kingdom","2016-06-06 17:47:57","2016-06-06 17:48:29",1824cdf504
62066bc5d78278f4b5562e21ad40bc4e,Romania,Finland,"United Kingdom","2016-06-06 17:49:25","2016-06-06 17:50:24",ed162a6b30
db953faf2668035e448767984c9a3e39,Canada,Norway,Norway,"2016-06-06 17:50:52","2016-06-06 17:51:24",a47044317f
0e80ec480dff994f732bc5201c28fdd0,"United States",Sweden,Sweden,"2016-06-06 17:52:07","2016-06-06 17:52:53",3ab43fa2e2
14cd4213ff71881bbc3103e193a22443,"United States",Cuba,Spain,"2016-06-06 17:59:13","2016-06-06 17:59:59",37ff103928
9eed9902ff2588a9b3961c646d0e9743,"United States",Australia,"United States","2016-06-06 18:09:20","2016-06-06 18:09:58",d420918b1d
4757eb82f43f9a1742e4d2007c1b584a,"South Africa",Canada,Canada,"2016-06-06 18:10:10","2016-06-06 18:10:58",7a35912fc8
13e6065032558266f8716dfade4263f8,Finland,Sweden,Finland,"2016-06-06 18:20:26","2016-06-06 18:21:28",842a58b0a5
74a2c92ad5953341888740db484861b3,"United States",Rwanda,Rwanda,"2016-06-06 18:21:25","2016-06-06 18:22:08",245b7c7c61
681b6c9ce567810a2bd483058d0af019,"United States",Hungary,"United States","2016-06-06 18:32:50","2016-06-06 18:33:33",0e810db8be
fc6cd2206e50f749098f7e808f6524ff,"United States",Sweden,Sweden,"2016-06-06 18:50:26","2016-06-06 18:51:35",f19944defe
a342813f2e91f0c01837a4a885ad0371,"United States",Canada,"United States","2016-06-06 18:54:00","2016-06-06 18:54:49",7c6a26c89b
b5e9565a38660a090a599b361d47ad11,Canada,Finland,Canada,"2016-06-06 19:02:50","2016-06-06 19:03:36",73cc14ba66
8be48cc8636c6a114d038623d23bb589,"United States",Canada,"United States","2016-06-06 19:19:37","2016-06-06 19:21:17",f42c6f9bcd
2f76312085d95385d20c3b42099d9a77,"United Kingdom",France,France,"2016-06-06 19:22:24","2016-06-06 19:22:51",a386129147
8b551ba3e33bb2e59080628fe4047deb,"United Kingdom",Italy,"United Kingdom","2016-06-06 19:21:37","2016-06-06 19:23:01",f470ae380b
